customer_name,category,sub_category,city,order_date,region,sales,profit
Harish,Oil & Masala,Masalas,Vellore,2017-11-08,North,1254,401.28
Sudha,Beverages,Health Drinks,Krishnagiri,2017-11-08,South,749,149.8
Hussain,Food Grains,Atta & Flour,Perambalur,2017-06-12,West,2360,165.2
Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,2016-10-11,South,896,89.6
Ridhesh,Food Grains,Organic Staples,Ooty,2016-10-11,South,2355,918.45
Adavan,Food Grains,Organic Staples,Dharmapuri,2015-06-09,West,2305,322.7
Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,2015-06-09,West,826,346.92
Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2015-06-09,West,1847,147.76
Hafiz,Bakery,Biscuits,Tirunelveli,2015-06-09,West,791,181.93
Krithika,Bakery,Cakes,Chennai,2015-06-09,West,1795,484.65
Ganesh,Snacks,Chocolates,Karur,2015-06-09,West,1903,437.69
Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,2015-06-09,West,701,308.44
Sharon,Snacks,Cookies,Dindigul,2018-04-15,South,1659,315.21
Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,2017-12-05,West,1277,63.85
Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,2016-11-22,Central,831,207.75
Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,2016-11-22,Central,1440,100.8
Alan,Bakery,Cakes,Dharmapuri,2015-11-11,Central,1678,318.82
Arutra,Beverages,Health Drinks,Bodi,2015-05-13,West,1617,113.19
Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,2015-08-27,West,1757,386.54
Verma,Beverages,Soft Drinks,Kanyakumari,2015-08-27,West,692,159.16
Hafiz,Beverages,Health Drinks,Vellore,2015-08-27,West,522,208.8
Alan,Food Grains,Dals & Pulses,Karur,2017-12-09,Central,948,47.4
Haseena,Beverages,Soft Drinks,Krishnagiri,2017-12-09,Central,707,148.47
Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,2018-07-16,East,969,77.52
Sharon,"Eggs, Meat & Fish",Eggs,Ooty,2016-09-25,West,1100,495.0
Krithika,Snacks,Chocolates,Tirunelveli,2017-01-16,West,2022,202.2
Muneer,Snacks,Cookies,Trichy,2017-01-16,West,541,43.28
Jackson,Bakery,Biscuits,Viluppuram,2016-09-17,East,979,401.39
Veronica,Beverages,Soft Drinks,Krishnagiri,2016-09-17,East,1988,874.72
Shah,Oil & Masala,Masalas,Kanyakumari,2016-09-17,East,989,69.23
Ramesh,Beverages,Soft Drinks,Dharmapuri,2016-09-17,East,1845,166.05
Mathew,Snacks,Noodles,Vellore,2016-09-17,East,1400,420.0
Akash,Oil & Masala,Edible Oil & Ghee,Trichy,2016-09-17,East,2163,670.53
Anu,Oil & Masala,Masalas,Madurai,2016-09-17,East,1689,337.8
Anu,Beverages,Health Drinks,Vellore,2018-10-19,Central,809,80.9
Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,2017-12-08,Central,1265,569.25
James,Beverages,Soft Drinks,Salem,2017-12-08,Central,934,56.04
Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,2016-12-27,Central,1354,446.82
Jonas,Fruits & Veggies,Fresh Fruits,Chennai,2016-12-27,Central,1751,280.16
Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,2016-12-27,Central,2045,879.35
Malik,Beverages,Health Drinks,Namakkal,2016-12-27,Central,660,92.4
Arutra,Beverages,Soft Drinks,Salem,2018-09-10,Central,1868,616.44
Sharon,Snacks,Cookies,Bodi,2017-07-17,West,1017,345.78
Mathew,Snacks,Cookies,Dharmapuri,2018-09-19,South,2311,1039.95
Amrish,Bakery,Biscuits,Krishnagiri,2017-03-11,Central,1663,731.72
Vince,"Eggs, Meat & Fish",Eggs,Madurai,2017-03-11,Central,1420,355.0
Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,2015-10-20,Central,1415,509.4
Mathew,Snacks,Noodles,Chennai,2017-06-20,East,1488,610.08
Ridhesh,Snacks,Noodles,Pudukottai,2017-06-20,East,726,43.56
Amrish,Bakery,Cakes,Ooty,2016-04-18,Central,1259,415.47
Esther,Beverages,Soft Drinks,Salem,2016-04-18,Central,902,153.34
Shah,Beverages,Soft Drinks,Salem,2016-04-18,Central,2306,553.44
Sudha,Bakery,Cakes,Theni,2016-04-18,Central,1417,99.19
Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,2017-12-11,East,627,181.83
Esther,Fruits & Veggies,Organic Fruits,Nagercoil,2017-12-11,East,760,60.8
Muneer,Food Grains,Atta & Flour,Salem,2017-06-17,East,2350,611.0
Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,2017-06-17,East,1179,271.17
Veena,Food Grains,Dals & Pulses,Trichy,2017-06-17,East,1624,194.88
Sharon,"Eggs, Meat & Fish",Mutton,Trichy,2017-06-17,East,1316,421.12
Shree,Beverages,Health Drinks,Coimbatore,2017-06-17,East,2121,678.72
Roshan,Oil & Masala,Masalas,Virudhunagar,2017-06-17,East,1428,271.32
Willams,Snacks,Noodles,Perambalur,2017-06-17,East,706,289.46
Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,2016-11-24,West,921,184.2
Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,2016-11-24,West,1741,661.58
Willams,"Eggs, Meat & Fish",Eggs,Madurai,2016-11-24,West,607,200.31
Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,2016-11-24,West,1824,766.08
Vinne,Food Grains,Atta & Flour,Madurai,2016-04-30,Central,1368,383.04
Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,2015-12-05,West,1160,510.4
Ramesh,Food Grains,Atta & Flour,Viluppuram,2015-12-05,West,1294,77.64
Peer,Oil & Masala,Masalas,Ooty,2017-06-04,South,1232,554.4
Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,2017-09-18,East,994,357.84
Yusuf,Snacks,Noodles,Kanyakumari,2018-09-14,Central,2468,1011.88
Alan,Snacks,Cookies,Theni,2016-04-26,South,721,100.94
Vidya,Fruits & Veggies,Organic Vegetables,Vellore,2016-04-26,South,2375,475.0
Arvind,Beverages,Soft Drinks,Vellore,2016-04-26,South,1965,117.9
Veronica,Beverages,Soft Drinks,Bodi,2018-12-09,Central,1489,193.57
Arvind,Fruits & Veggies,Organic Fruits,Ooty,2018-12-09,Central,1250,75.0
Anu,Snacks,Noodles,Coimbatore,2018-12-09,Central,1358,488.88
Haseena,Snacks,Cookies,Vellore,2015-11-26,Central,719,64.71
Veena,Fruits & Veggies,Organic Fruits,Chennai,2017-06-12,South,2303,621.81
Kumar,Beverages,Health Drinks,Kanyakumari,2017-06-12,South,2027,912.15
Amy,Food Grains,Atta & Flour,Bodi,2015-10-12,West,1739,765.16
Komal,Oil & Masala,Spices,Cumbum,2015-10-12,West,990,227.7
Ravi,Beverages,Soft Drinks,Dharmapuri,2016-09-03,South,2354,682.66
Amy,Fruits & Veggies,Organic Fruits,Bodi,2018-11-13,Central,1044,344.52
Willams,Oil & Masala,Spices,Dindigul,2018-05-28,South,2129,659.99
Sharon,Food Grains,Rice,Theni,2018-10-26,Central,1759,615.65
Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,2018-10-26,Central,1663,665.2
Sheeba,Bakery,Breads & Buns,Perambalur,2017-04-05,Central,2111,189.99
Krithika,Food Grains,Dals & Pulses,Madurai,2017-09-17,West,1878,450.72
Willams,"Eggs, Meat & Fish",Chicken,Ooty,2017-09-17,West,769,46.14
Roshan,Beverages,Health Drinks,Virudhunagar,2017-09-17,West,1241,409.53
Ravi,Food Grains,Atta & Flour,Madurai,2016-01-31,Central,2128,383.04
Ram,Fruits & Veggies,Fresh Fruits,Namakkal,2016-01-31,Central,2257,270.84
Mathew,Snacks,Chocolates,Bodi,2016-01-31,Central,1285,218.45
Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,2018-11-06,West,1230,442.8
Sudha,Food Grains,Atta & Flour,Ooty,2018-11-09,East,1856,723.84
Sharon,Fruits & Veggies,Fresh Fruits,Trichy,2018-06-17,West,545,125.35
Vince,Snacks,Chocolates,Dharmapuri,2017-09-06,Central,2301,391.17
Krithika,Oil & Masala,Spices,Chennai,2017-08-29,Central,1475,531.0
Adavan,Bakery,Cakes,Coimbatore,2017-08-29,Central,2118,910.74
Roshan,Beverages,Soft Drinks,Coimbatore,2017-08-29,Central,1527,671.88
Vinne,Snacks,Chocolates,Nagercoil,2017-12-01,Central,567,175.77
Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2016-11-13,West,969,184.11
Suresh,Food Grains,Dals & Pulses,Karur,2016-11-13,West,2300,1035.0
Komal,Oil & Masala,Masalas,Kanyakumari,2016-11-13,West,1575,78.75
Sundar,Beverages,Health Drinks,Cumbum,2018-11-23,South,540,108.0
Willams,Snacks,Cookies,Tirunelveli,2018-11-23,South,536,176.88
Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,2018-11-23,South,556,155.68
Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,2016-10-15,Central,1179,271.17
Sundar,Food Grains,Dals & Pulses,Namakkal,2018-12-25,East,1487,505.58
Arvind,Bakery,Breads & Buns,Pudukottai,2017-11-03,Central,2220,111.0
Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,2017-11-03,Central,2155,581.85
Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,2015-08-25,East,1154,69.24
Muneer,Snacks,Noodles,Salem,2015-08-25,East,2420,242.0
Rumaiza,Snacks,Chocolates,Karur,2015-08-25,East,1305,287.1
Hussain,Fruits & Veggies,Organic Fruits,Bodi,2015-08-25,East,927,157.59
Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,2016-03-02,West,983,186.77
Akash,Food Grains,Rice,Chennai,2016-04-05,South,903,90.3
Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,2017-06-12,East,1235,74.1
Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,2017-06-12,East,1243,174.02
Harish,Bakery,Cakes,Krishnagiri,2017-06-12,East,649,201.19
Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,2017-06-12,East,2354,188.32
Anu,Beverages,Soft Drinks,Cumbum,2017-06-12,East,1443,187.59
Sudeep,Bakery,Breads & Buns,Madurai,2015-12-26,Central,975,390.0
Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,2015-09-20,Central,889,71.12
Shah,"Eggs, Meat & Fish",Mutton,Karur,2018-11-05,West,2352,870.24
Harish,Oil & Masala,Spices,Tirunelveli,2018-11-05,West,1293,336.18
Sharon,Food Grains,Rice,Bodi,2017-11-06,West,1458,597.78
Peer,Food Grains,Atta & Flour,Coimbatore,2017-11-06,West,1801,126.07
Haseena,Snacks,Chocolates,Tenkasi,2018-02-02,East,1261,416.13
Sundar,Beverages,Soft Drinks,Nagercoil,2018-02-02,East,2112,105.6
Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,2018-02-02,East,640,140.8
Shah,Bakery,Cakes,Tenkasi,2017-10-13,West,1658,315.02
Harish,Beverages,Health Drinks,Ramanadhapuram,2017-10-13,West,2373,664.44
Veena,Fruits & Veggies,Organic Fruits,Cumbum,2017-10-13,West,1430,514.8
Sundar,Oil & Masala,Spices,Viluppuram,2017-10-13,West,1873,674.28
Jackson,"Eggs, Meat & Fish",Eggs,Theni,2017-10-13,West,867,329.46
Malik,Snacks,Noodles,Theni,2017-10-13,West,1101,484.44
Hussain,"Eggs, Meat & Fish",Mutton,Ooty,2017-10-13,West,1088,424.32
